[INFO] [2021-07-10 18:12:05] ChannelHandler.userEventTriggered(105) |  ssl close completion event, host: 127.0.0.1, port: 20200, ctx: 663395683 
[INFO] [2021-07-10 18:12:05] ChannelHandler.userEventTriggered(105) |  ssl close completion event, host: 127.0.0.1, port: 20201, ctx: 1568256558 
[DEBUG] [2021-07-10 18:12:05] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 127.0.0.1:20200 ,false
[DEBUG] [2021-07-10 18:12:05] ConnectionManager.removeConnectionContext(438) |  result: true, host: 127.0.0.1, port: 20200, ctx: 663395683
[DEBUG] [2021-07-10 18:12:05] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 127.0.0.1:20200
[DEBUG] [2021-07-10 18:12:05] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 127.0.0.1:20200
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-10 18:12:05] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
