[DEBUG] [2021-06-30 13:54:19] ConnectionManager.removeConnectionContext(438) |  result: true, host: 127.0.0.1, port: 20201, ctx: 1034621146
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 127.0.0.1:20201
[DEBUG] [2021-06-30 13:54:19] GroupServiceImpl.resetLatestBlockNumber(161) | g:1, resetLatestBlockNumber, latestBlockNumber: 149, nodeWithLatestBlockNumber:[], maxBlockNumber: 149
[DEBUG] [2021-06-30 13:54:19] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 127.0.0.1:20200
[INFO] [2021-06-30 13:54:19] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-06-30 13:54:19] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-06-30 13:54:19] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-06-30 13:54:19] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[DEBUG] [2021-06-30 13:54:19] GroupServiceImpl.removeNode(67) | g:1, removeNode=127.0.0.1:20200, blockNumberInfoSize=1, latestBlockNumber:149
[DEBUG] [2021-06-30 13:54:19] GroupServiceImpl.removeNode(67) | g:1, removeNode=127.0.0.1:20201, blockNumberInfoSize=0, latestBlockNumber:0
[DEBUG] [2021-06-30 13:54:19] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20201, groupInfo: [1]
[DEBUG] [2021-06-30 13:54:19] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20201, topic: _block_notify_1
[DEBUG] [2021-06-30 13:54:19] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20200, groupInfo: [1]
[DEBUG] [2021-06-30 13:54:19] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20200, topic: _block_notify_1
[INFO] [2021-06-30 13:54:19] AmopImp.sendSubscribe(216) | update subscribe inform 1 peers
[DEBUG] [2021-06-30 13:54:19] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[INFO] [2021-06-30 13:54:19] AmopImp.sendSubscribe(216) | update subscribe inform 1 peers
[DEBUG] [2021-06-30 13:54:19] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[DEBUG] [2021-06-30 13:54:19] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 127.0.0.1:20201
[INFO] [2021-06-30 13:54:19] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-06-30 13:54:19] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-06-30 13:54:19] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-06-30 13:54:19] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-06-30 13:54:19] ChannelHandler.userEventTriggered(105) |  ssl close completion event, host: 127.0.0.1, port: 20200, ctx: 1154836005 
[INFO] [2021-06-30 13:54:19] ChannelHandler.userEventTriggered(105) |  ssl close completion event, host: 127.0.0.1, port: 20201, ctx: 1034621146 
[DEBUG] [2021-06-30 13:54:19] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 127.0.0.1:20200 ,false
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 127.0.0.1:20200
[DEBUG] [2021-06-30 13:54:19] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 127.0.0.1:20201 ,false
[DEBUG] [2021-06-30 13:54:19] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 127.0.0.1:20201
[DEBUG] [2021-06-30 13:54:19] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 127.0.0.1:20200
[INFO] [2021-06-30 13:54:19] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-06-30 13:54:19] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-06-30 13:54:19] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
