[DEBUG] [2021-07-02 13:56:45] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 127.0.0.1:20201 ,true
[DEBUG] [2021-07-02 13:56:45] ConnectionManager.removeConnectionContext(438) |  result: true, host: 127.0.0.1, port: 20201, ctx: 848884232
[DEBUG] [2021-07-02 13:56:45] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 127.0.0.1:20201
[DEBUG] [2021-07-02 13:56:45] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 127.0.0.1:20201
[DEBUG] [2021-07-02 13:56:45] GroupServiceImpl.resetLatestBlockNumber(161) | g:1, resetLatestBlockNumber, latestBlockNumber: 216, nodeWithLatestBlockNumber:[], maxBlockNumber: 216
[DEBUG] [2021-07-02 13:56:45] GroupServiceImpl.removeNode(67) | g:1, removeNode=127.0.0.1:20201, blockNumberInfoSize=1, latestBlockNumber:216
[DEBUG] [2021-07-02 13:56:45] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20201, groupInfo: [1]
[DEBUG] [2021-07-02 13:56:45] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20201, topic: _block_notify_1
[INFO] [2021-07-02 13:56:45] AmopImp.sendSubscribe(216) | update subscribe inform 2 peers
[DEBUG] [2021-07-02 13:56:45] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-07-02 13:56:45] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[ERROR] [2021-07-02 11:01:09] ChannelHandler.userEventTriggered(58) |  idle state event:READER_IDLE connect127.0.0.1:20200 long time Inactive, disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[DEBUG] [2021-07-02 13:56:45] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 127.0.0.1:20200 ,true
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[DEBUG] [2021-07-02 13:56:45] ConnectionManager.removeConnectionContext(438) |  result: true, host: 127.0.0.1, port: 20200, ctx: 818201503
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[DEBUG] [2021-07-02 13:56:45] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 127.0.0.1:20200
[DEBUG] [2021-07-02 13:56:45] GroupServiceImpl.removeNode(67) | g:1, removeNode=127.0.0.1:20200, blockNumberInfoSize=0, latestBlockNumber:0
[DEBUG] [2021-07-02 13:56:45] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20200, groupInfo: [1]
[DEBUG] [2021-07-02 13:56:45] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20200, topic: _block_notify_1
[INFO] [2021-07-02 13:56:45] AmopImp.sendSubscribe(216) | update subscribe inform 1 peers
[DEBUG] [2021-07-02 13:56:45] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-07-02 13:56:45] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 127.0.0.1:20200
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] ChannelHandler.userEventTriggered(105) |  ssl close completion event, host: 127.0.0.1, port: 20200, ctx: 818201503 
[DEBUG] [2021-07-02 13:56:45] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 127.0.0.1:20200 ,false
[DEBUG] [2021-07-02 13:56:45] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 127.0.0.1:20200
[DEBUG] [2021-07-02 13:56:45] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 127.0.0.1:20200
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] ChannelHandler.userEventTriggered(105) |  ssl close completion event, host: 127.0.0.1, port: 20201, ctx: 848884232 
[DEBUG] [2021-07-02 13:56:45] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 127.0.0.1:20201 ,false
[DEBUG] [2021-07-02 13:56:45] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 127.0.0.1:20201
[DEBUG] [2021-07-02 13:56:45] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 127.0.0.1:20201
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:45] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-07-02 13:56:51] ConnectionManager.reconnect(197) |  reconnect to 127.0.0.1:20200 success
[DEBUG] [2021-07-02 13:56:51] SslHandler.setHandshakeSuccess(1746) | [id: 0x075dad38, L:/127.0.0.1:38996 - R:/127.0.0.1:20200] HANDSHAKEN: protocol:TLSv1.2 cipher suite:TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
[INFO] [2021-07-02 13:56:51] ChannelHandler.userEventTriggered(73) |  handshake success, host: 127.0.0.1, port: 20200, ctx: 1792438678
[DEBUG] [2021-07-02 13:56:51] ConnectionManager.addConnectionContext(427) | addConnectionContext, endpoint: 127.0.0.1:20200, ctx:ChannelHandlerContext(ChannelHandler#0, [id: 0x075dad38, L:/127.0.0.1:38996 - R:/127.0.0.1:20200])
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onConnect(112) | onConnect in ChannelMsgHandler called, host : 127.0.0.1:20200
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : cafe4ddf0c674fe78408a57630f2eca6, msgType : 18
[INFO] [2021-07-02 13:56:51] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.2', supportedVersion='2.7.2', chainId='1', buildTime='20210201 10:03:03', buildType='Linux/clang/Release', gitBranch='HEAD', gitCommitHash='4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da'}, content: {"id":2,"jsonrpc":"2.0","result":{"Build Time":"20210201 10:03:03","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.7.2","Git Branch":"HEAD","Git Commit Hash":"4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da","Supported Version":"2.7.2"}}

[INFO] [2021-07-02 13:56:51] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7e9d35f3278745fe93f359cc4599b758, msgType : 20
[INFO] [2021-07-02 13:56:51] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 127.0.0.1:20200, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.2, EnumProtocol=VERSION_3]
[INFO] [2021-07-02 13:56:51] GetNodeVersionHandler.onConnect(38) | GetNodeVersionHandler: onConnect, endpoint: 127.0.0.1:20200
[INFO] [2021-07-02 13:56:51] AmopMsgHandler.onConnect(76) | Node connected, update topics to node. node:127.0.0.1:20200
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3059f7fce7ac47c6aa73de4181541400, msgType : 18
[DEBUG] [2021-07-02 13:56:51] GroupServiceImpl.<init>(45) | insert group: 1 for peer 127.0.0.1:20200
[DEBUG] [2021-07-02 13:56:51] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20200, groupInfo: [1]
[DEBUG] [2021-07-02 13:56:51] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20200, topic: _block_notify_1
[INFO] [2021-07-02 13:56:51] AmopImp.sendSubscribe(216) | update subscribe inform 1 peers
[DEBUG] [2021-07-02 13:56:51] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-07-02 13:56:51] GroupManagerServiceImpl.getAndUpdateBlockNumberForAllPeers(528) | g: 1, getAndUpdateBlockNumberForAllPeers, group availablePeers:[127.0.0.1:20200]
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8e93e3db415e4c55b15969c66093aa8f, msgType : 18
[DEBUG] [2021-07-02 13:56:51] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 216, groupId: 1
[DEBUG] [2021-07-02 13:56:51] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 216, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2021-07-02 13:56:51] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:127.0.0.1:20200, blockNumber: 216
