[DEBUG] [2021-07-02 15:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e50fc44a3c5440d499088f0b20a69f8e, msgType : 19
[DEBUG] [2021-07-02 15:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b7c250cb4e9041d8bf70513024eb883b, msgType : 19
[DEBUG] [2021-07-02 15:00:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5f298fd00e9e4c308cb816335818117a, msgType : 19
[DEBUG] [2021-07-02 15:00:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c3a010e5cbff43e7ac0067ddd91adfa8, msgType : 19
[DEBUG] [2021-07-02 15:00:04] LogFormatUtils.traceDebug(91) | POST "/v1/chain/addNode?user_id=port&id=1&in_time=20210702&out_time=20210703&token=11464993413334988409", parameters={masked}
[DEBUG] [2021-07-02 15:00:04] AbstractHandlerMapping.getHandler(522) | Mapped to com.example.demo.controller.ChainController#addNode(String, String, String, String, String)
[INFO] [2021-07-02 15:00:04] ContractClient.loadContractAddr(73) |  load contract address from contract.properties, address is 0x51191ae41ae7aad42f9deb382086da0d95020929
[DEBUG] [2021-07-02 15:00:04] TransactionProcessorFactory.getChainIdAndGroupId(35) | getNodeVersion before createTransactionManager, binaryVerison: 2.7.2, supportedVersion:2.7.2
[DEBUG] [2021-07-02 15:00:04] TransactionProcessorFactory.getChainIdAndGroupId(49) | createTransactionManager for >=rc2 node, chainId: 1, groupId: 1
[DEBUG] [2021-07-02 15:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8857b9ca355d468eab5abf343addad4f, msgType : 18
[DEBUG] [2021-07-02 15:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 47cdbf1f424b447d8886d5c54768103c, msgType : 18
[DEBUG] [2021-07-02 15:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-02 15:00:04] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-02 15:00:04] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 250, groupId: 1
[DEBUG] [2021-07-02 15:00:04] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 250, nodeWithLatestBlockNumber:[127.0.0.1:20201]
[DEBUG] [2021-07-02 15:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2021-07-02 15:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 47cdbf1f424b447d8886d5c54768103c, msgType : 4096
[DEBUG] [2021-07-02 15:00:04] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-02 15:00:04] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2021-07-02 15:00:04] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 250, groupId: 1
