[DEBUG] [2021-07-03 00:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3c22445be16d45d5bf1d2c92556e6eb9, msgType : 19
[DEBUG] [2021-07-03 00:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ede15d47cfa64e39b61010d2fef5e18c, msgType : 19
[DEBUG] [2021-07-03 00:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4f5671a8e4b24a578c70000272bf60a1, msgType : 19
[DEBUG] [2021-07-03 00:00:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c6aeb70be463404abcafa24b46f491b9, msgType : 19
[DEBUG] [2021-07-03 00:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : fd5c0a60586b487fadc8f2ff2595d65e, msgType : 19
[DEBUG] [2021-07-03 00:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : eab34eeb334c4e34aea4277c30c9bacf, msgType : 19
[DEBUG] [2021-07-03 00:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 91253c4b12ca4772bc860f66cb3b47d0, msgType : 19
[DEBUG] [2021-07-03 00:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 33e62b8d70f8462da5e77da04cbb25e8, msgType : 19
[DEBUG] [2021-07-03 00:00:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3c624a784939422b8b19b4c7bf3c9061, msgType : 19
[DEBUG] [2021-07-03 00:00:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : eb5dcbfbdb4340e1833b587dad87a9af, msgType : 19
[DEBUG] [2021-07-03 00:00:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 56acbab74b89470ebb3e684e74f6d436, msgType : 19
[DEBUG] [2021-07-03 00:00:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : da94a217390140f2a9ce74da6c62cc0e, msgType : 19
[DEBUG] [2021-07-03 00:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5b9b2823006a42b6b7488752b0dc1018, msgType : 19
[DEBUG] [2021-07-03 00:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2eb1e9be6ccd4b6692b63864dd7e47ef, msgType : 19
[DEBUG] [2021-07-03 00:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e8fb2b68ed004ecb82761f515184068f, msgType : 19
[DEBUG] [2021-07-03 00:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a555c8550f304e499cf40754c1d2176b, msgType : 19
[DEBUG] [2021-07-03 00:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7307591db2ff47378af20828a1b1a84f, msgType : 19
[DEBUG] [2021-07-03 00:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9570261ccff54704b4c2a721d4c74bcf, msgType : 19
[DEBUG] [2021-07-03 00:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b0ed276cbd034ce5b3101bce45dde50e, msgType : 19
[DEBUG] [2021-07-03 00:00:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ed9d89c62eb24d5d8eb7e128340854f7, msgType : 19
[DEBUG] [2021-07-03 00:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b76d657d10da4aac92b1ba3cbc2bad87, msgType : 19
[DEBUG] [2021-07-03 00:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2a9342356a2942eea7e9e777697c81a5, msgType : 19
[DEBUG] [2021-07-03 00:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 74fb33c24abc424987b710b273ec981e, msgType : 19
[DEBUG] [2021-07-03 00:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 99ef7b676d6441adb4dc4205dc715e02, msgType : 19
[DEBUG] [2021-07-03 00:00:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 59997b93bc1f42fd9f42f0ee68f7fb40, msgType : 19
[DEBUG] [2021-07-03 00:00:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 785d5f2505e841119f40f3b5a02e0130, msgType : 19
[DEBUG] [2021-07-03 00:00:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 2be825e957484da0b3c394219598195f, msgType : 19
[DEBUG] [2021-07-03 00:00:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f1eb7dba388e4ba599939f859148e66d, msgType : 19
[DEBUG] [2021-07-03 00:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 38d695a3a7a7444c8135226abf9ce5b3, msgType : 19
[DEBUG] [2021-07-03 00:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 34ed644e1d5a40d89055e924da6a48ce, msgType : 19
[DEBUG] [2021-07-03 00:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 53eb9304aa3e4a909e2da96b4d6801c6, msgType : 19
[DEBUG] [2021-07-03 00:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e5f5c4394c7148c7900e3fa8f4b89cad, msgType : 19
[DEBUG] [2021-07-03 00:00:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b98b1258068546c88cab7b52272dadc4, msgType : 19
[DEBUG] [2021-07-03 00:00:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 57d0e6206cd14b8d8b56ce56d4887a13, msgType : 19
[DEBUG] [2021-07-03 00:00:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b682cbb3a7dc4691a606dc0eeb1e3f8d, msgType : 19
[DEBUG] [2021-07-03 00:00:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 51e8ca4918e64964a36917e7a9452def, msgType : 19
[DEBUG] [2021-07-03 00:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2a6d20edbd644347a643676eb90bafe5, msgType : 19
[DEBUG] [2021-07-03 00:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : be06915d76614fc0a98059fb30602dc0, msgType : 19
[DEBUG] [2021-07-03 00:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 364b48f8fd8346268c28bca2fb0179f5, msgType : 19
[DEBUG] [2021-07-03 00:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ba170505b62b49288f4498d13b9c43a9, msgType : 19
[DEBUG] [2021-07-03 00:00:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 87b59d8b452a4ee2b495a73cce4dceba, msgType : 19
[DEBUG] [2021-07-03 00:00:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5ba67ce712e24fd4b7afb9b26a96a9b8, msgType : 19
[DEBUG] [2021-07-03 00:00:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 17a27c7e4a294c6e8564d49383ecabe4, msgType : 19
[DEBUG] [2021-07-03 00:00:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ab7cf2b9e16b49bfb939a594f4a0be64, msgType : 19
[DEBUG] [2021-07-03 00:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 48c8720528b34513a7911d99abefb0b9, msgType : 19
[DEBUG] [2021-07-03 00:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3f4f5f965cb5481dad79275f0b9a5208, msgType : 19
[DEBUG] [2021-07-03 00:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e7626563db6c4c3db107970149ac157a, msgType : 19
[DEBUG] [2021-07-03 00:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 59f310941ad840768c480029ca9927ba, msgType : 19
[DEBUG] [2021-07-03 00:00:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a095a35b095a42d7b151d62865ba126d, msgType : 19
[DEBUG] [2021-07-03 00:00:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 02e6fd6f4d8e4021a575165c1bd63c65, msgType : 19
[DEBUG] [2021-07-03 00:00:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3502cdfb2ccf431d90b3e1ea42c5ea06, msgType : 19
[DEBUG] [2021-07-03 00:00:12] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0d13b157e05d41fa9b2bda78eae17250, msgType : 19
[DEBUG] [2021-07-03 00:00:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8554ecd4f7de45918f547def74adefd9, msgType : 19
[DEBUG] [2021-07-03 00:00:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e7bebda32815401092ee48a479a37c4a, msgType : 19
[DEBUG] [2021-07-03 00:00:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 96f32805ef67477fa431fecf26871534, msgType : 19
[DEBUG] [2021-07-03 00:00:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7bd46383415c434aa2df723a96637de6, msgType : 19
[DEBUG] [2021-07-03 00:00:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 34d775c32d1c4ff388a7ff5b820a5ff2, msgType : 19
[DEBUG] [2021-07-03 00:00:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e8416f712dbe418585f64ed29c2d01c9, msgType : 19
[DEBUG] [2021-07-03 00:00:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 18092da7624441c89b3b32a3b6a8729d, msgType : 18
[DEBUG] [2021-07-03 00:00:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 09b9b0e8be47471cae6d8ea953c57058, msgType : 18
[DEBUG] [2021-07-03 00:00:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a4a2dbcdd1ae47309a6baea7c2a54f16, msgType : 19
[DEBUG] [2021-07-03 00:00:14] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ff780ab6523d49df93e107f92e7e1af8, msgType : 19
[DEBUG] [2021-07-03 00:00:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cff7a84c9d494b64b9b3996c7b4bc72f, msgType : 19
[DEBUG] [2021-07-03 00:00:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 189c82fc75be4daca90d5d4ab7b71c43, msgType : 19
[DEBUG] [2021-07-03 00:00:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9bffb3bf4c8c4961821f9d7b876ed1c3, msgType : 19
[DEBUG] [2021-07-03 00:00:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7631d1a3de074d07813975219e1d4e6e, msgType : 19
[DEBUG] [2021-07-03 00:00:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1f728e594e7d4fdeacfa83fb23e42e4d, msgType : 19
[DEBUG] [2021-07-03 00:00:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f1457658be8746258a3a06164d115e8b, msgType : 19
[DEBUG] [2021-07-03 00:00:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1ee2153185cc42738c465d2436919647, msgType : 19
[DEBUG] [2021-07-03 00:00:16] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0934e506597a422da65e8077b2d4b101, msgType : 19
[DEBUG] [2021-07-03 00:00:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 15a7ffd37f454c92bddef4802b7b1626, msgType : 19
[DEBUG] [2021-07-03 00:00:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b4a87a9ba17e4260b7df8079d9db3a2d, msgType : 19
[DEBUG] [2021-07-03 00:00:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 78b8e2ed7d824179b798dc34e3394eb2, msgType : 19
[DEBUG] [2021-07-03 00:00:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f583c510160c4954820e71d48fb12d1c, msgType : 19
[DEBUG] [2021-07-03 00:00:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c66f06e9861f47e0af6a245e7d463bc1, msgType : 19
[DEBUG] [2021-07-03 00:00:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 33b8ab64e2f9491f88c871f83f497bf1, msgType : 19
[DEBUG] [2021-07-03 00:00:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ca75c0578b704becadd55caf3a6f4881, msgType : 19
[DEBUG] [2021-07-03 00:00:18] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 53cab04848644f15aa3c8f9a1b54852a, msgType : 19
[DEBUG] [2021-07-03 00:00:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : fc22ecfb8463434da1fd0f414fa4a01d, msgType : 19
[DEBUG] [2021-07-03 00:00:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8594b9f4154c4b268d5f07b3f19ad3e8, msgType : 19
[DEBUG] [2021-07-03 00:00:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ce8c05c53bfb47d9948b7b7d7074248c, msgType : 19
[DEBUG] [2021-07-03 00:00:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f6e81f1465034b98b856369bf7107026, msgType : 19
[DEBUG] [2021-07-03 00:00:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : dbd85eec6b944a93a9ea43ea18832f57, msgType : 19
[DEBUG] [2021-07-03 00:00:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6b1caf919b93425fb913d4e929e208a3, msgType : 19
[DEBUG] [2021-07-03 00:00:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 765f692bacde47fcb72e65487d3991a5, msgType : 19
[DEBUG] [2021-07-03 00:00:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f9d2a64e3f014264a8b3659a8031e9ff, msgType : 19
[DEBUG] [2021-07-03 00:00:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7c5bb2790a9e448385ca214c3b2dcf5d, msgType : 19
[DEBUG] [2021-07-03 00:00:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d3c084f78b3c4d748b1a73145e5da4b1, msgType : 19
[DEBUG] [2021-07-03 00:00:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f03431af2b4a4a638550ac5441d7849d, msgType : 19
[DEBUG] [2021-07-03 00:00:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 375a29cde1f64c149f59e3c982a037bf, msgType : 19
[DEBUG] [2021-07-03 00:00:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a9b0682afa8d4d1ba02a91b5fa761d33, msgType : 19
[DEBUG] [2021-07-03 00:00:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 81f3e2bc23b14e418728cc7d96e4ecee, msgType : 19
[DEBUG] [2021-07-03 00:00:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 80659a7b614946c38c07895923e42155, msgType : 19
[DEBUG] [2021-07-03 00:00:22] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e86888cbee7e4aa9968ab59fbdf4f68f, msgType : 19
[DEBUG] [2021-07-03 00:00:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f938ea8b05434a6088cc5aa8f83d9f74, msgType : 19
[DEBUG] [2021-07-03 00:00:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6726d75019cd4a0484549d9c53c3d942, msgType : 19
[DEBUG] [2021-07-03 00:00:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 40e2185654874f55a60557b2f93d9da0, msgType : 19
[DEBUG] [2021-07-03 00:00:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c968b45254b44b418a814555bca385b3, msgType : 19
[DEBUG] [2021-07-03 00:00:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5fdb45874c4248dc9a1dca2bfc248055, msgType : 18
[DEBUG] [2021-07-03 00:00:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 25101998bd8d4e60832b3fc0571b0f0a, msgType : 18
[DEBUG] [2021-07-03 00:00:24] AbstractApplicationContext.doClose(987) | Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7726e185, started on Fri Jul 02 23:54:28 CST 2021
[DEBUG] [2021-07-03 00:00:24] MBeanExporter.destroy(451) | Unregistering JMX-exposed beans on shutdown
[INFO] [2021-07-03 00:00:24] ExecutorConfigurationSupport.shutdown(208) | Shutting down ExecutorService 'applicationTaskExecutor'
[DEBUG] [2021-07-03 00:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 956c75a288194be98facadc9fe45aeb0, msgType : 19
[DEBUG] [2021-07-03 00:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : eb3086f638c643a0bab8ae7160919352, msgType : 19
[DEBUG] [2021-07-03 00:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 18dcd7b18e9b454d880aff4a2914ad58, msgType : 19
[DEBUG] [2021-07-03 00:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 770255bc1470486598f0cb9b60570db4, msgType : 19
[DEBUG] [2021-07-03 00:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bf2ab41c734e4bd2aeafc1d868516dc9, msgType : 18
[DEBUG] [2021-07-03 00:00:24] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 359542f897b64837bb47f9a64ddf2d3d, msgType : 18
[DEBUG] [2021-07-03 00:00:35] AbstractApplicationContext.prepareRefresh(590) | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4361bd48
[DEBUG] [2021-07-03 00:00:35] XmlBeanDefinitionReader.doLoadBeanDefinitions(395) | Loaded 3 bean definitions from class path resource [applicationContext.xml]
[DEBUG] [2021-07-03 00:00:35] DefaultSingletonBeanRegistry.getSingleton(213) | Creating shared instance of singleton bean 'defaultConfigProperty'
[DEBUG] [2021-07-03 00:00:35] DefaultSingletonBeanRegistry.getSingleton(213) | Creating shared instance of singleton bean 'defaultConfigOption'
[DEBUG] [2021-07-03 00:00:35] CryptoMaterialConfig.<init>(77) | Load cryptoMaterial, caCertPath: /home/fisco/IdeaProjects/item-trace-app/target/resources/main/conf/ca.crt, sdkCertPath: /home/fisco/IdeaProjects/item-trace-app/target/resources/main/conf/sdk.crt, sdkPrivateKeyPath:/home/fisco/IdeaProjects/item-trace-app/target/resources/main/conf/sdk.key, enSSLCertPath: null, enSSLPrivateKeyPath:null
[DEBUG] [2021-07-03 00:00:35] InternalLoggerFactory.newDefaultFactory(43) | Using SLF4J as the default logging framework
[DEBUG] [2021-07-03 00:00:35] NetUtil.<clinit>(139) | -Djava.net.preferIPv4Stack: {}
[DEBUG] [2021-07-03 00:00:35] NetUtil.<clinit>(140) | -Djava.net.preferIPv6Addresses: {}
[DEBUG] [2021-07-03 00:00:35] NetUtil.<clinit>(224) | Loopback interface: {} ({}, {})
[DEBUG] [2021-07-03 00:00:36] PlatformDependent0.explicitNoUnsafeCause0(395) | -Dio.netty.noUnsafe: {}
[DEBUG] [2021-07-03 00:00:36] PlatformDependent0.javaVersion0(871) | Java version: {}
[DEBUG] [2021-07-03 00:00:36] PlatformDependent0.<clinit>(120) | sun.misc.Unsafe.theUnsafe: available
[DEBUG] [2021-07-03 00:00:36] PlatformDependent0.<clinit>(144) | sun.misc.Unsafe.copyMemory: available
[DEBUG] [2021-07-03 00:00:36] PlatformDependent0.<clinit>(182) | java.nio.Buffer.address: available
[DEBUG] [2021-07-03 00:00:36] PlatformDependent0.<clinit>(243) | direct buffer constructor: available
[DEBUG] [2021-07-03 00:00:36] PlatformDependent0.<clinit>(313) | java.nio.Bits.unaligned: available, {}
[DEBUG] [2021-07-03 00:00:36] PlatformDependent0.<clinit>(378) | jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable prior to Java9
[DEBUG] [2021-07-03 00:00:36] PlatformDependent0.<clinit>(385) | java.nio.DirectByteBuffer.<init>(long, int): {}
[DEBUG] [2021-07-03 00:00:36] PlatformDependent.unsafeUnavailabilityCause0(996) | sun.misc.Unsafe: {}
[DEBUG] [2021-07-03 00:00:36] PlatformDependent.tmpdir0(1090) | -Dio.netty.tmpdir: {} (java.io.tmpdir)
[DEBUG] [2021-07-03 00:00:36] PlatformDependent.bitMode0(1169) | -Dio.netty.bitMode: {} (sun.arch.data.model)
